date	close	index
11-Jan-11	341.64	2
10-Jan-11	342.46	2
7-Jan-11	336.12	1
6-Jan-11	333.73	2
5-Jan-11	334.0	2
4-Jan-11	331.29	1
3-Jan-11	329.57	1
31-Dec-10	322.56	3
30-Dec-10	323.66	3
29-Dec-10	325.29	3
28-Dec-10	325.47	3
27-Dec-10	324.68	2
23-Dec-10	323.6	1
22-Dec-10	325.16	2
21-Dec-10	324.2	3
20-Dec-10	322.21	3
17-Dec-10	320.61	2
16-Dec-10	321.25	3
15-Dec-10	320.36	1
14-Dec-10	320.29	3
13-Dec-10	321.67	3
10-Dec-10	320.56	2
9-Dec-10	319.76	1
8-Dec-10	321.01	1
7-Dec-10	318.21	1
6-Dec-10	320.15	1
3-Dec-10	317.44	3
2-Dec-10	318.15	1
1-Dec-10	316.4	2
30-Nov-10	311.15	2
29-Nov-10	316.87	1
26-Nov-10	315.0	1
24-Nov-10	314.8	2
23-Nov-10	308.73	3
22-Nov-10	313.36	2
19-Nov-10	306.73	1
18-Nov-10	308.43	3
17-Nov-10	300.5	2
16-Nov-10	301.59	1
15-Nov-10	307.04	1
12-Nov-10	308.03	1
11-Nov-10	316.66	2
10-Nov-10	318.03	2
9-Nov-10	316.08	3
8-Nov-10	318.62	3
5-Nov-10	317.13	2
4-Nov-10	318.27	2
3-Nov-10	312.8	1
2-Nov-10	309.36	1
1-Nov-10	304.18	1
29-Oct-10	300.98	2
28-Oct-10	305.24	2
27-Oct-10	307.83	1
26-Oct-10	308.05	3
25-Oct-10	308.84	3
22-Oct-10	307.47	3
21-Oct-10	309.52	1
20-Oct-10	310.53	1
19-Oct-10	309.49	3
18-Oct-10	318.0	3
15-Oct-10	314.74	2
14-Oct-10	302.31	2
13-Oct-10	300.14	3
12-Oct-10	298.54	2
11-Oct-10	295.36	1
8-Oct-10	294.07	1
7-Oct-10	289.22	3
6-Oct-10	289.19	1
5-Oct-10	288.94	1
4-Oct-10	278.64	3
1-Oct-10	282.52	1
30-Sep-10	283.75	3
29-Sep-10	287.37	3
28-Sep-10	286.86	2
27-Sep-10	291.16	1
24-Sep-10	292.32	1
23-Sep-10	288.92	2
22-Sep-10	287.75	2
21-Sep-10	283.77	1
20-Sep-10	283.23	3
17-Sep-10	275.37	3
16-Sep-10	276.57	2
15-Sep-10	270.22	1
14-Sep-10	268.06	3
13-Sep-10	267.04	2
10-Sep-10	263.41	2
9-Sep-10	263.07	1
8-Sep-10	262.92	3
7-Sep-10	257.81	3
6-Sep-10	258.77	3
3-Sep-10	258.77	3
2-Sep-10	252.17	3
1-Sep-10	250.33	3
31-Aug-10	243.1	2
30-Aug-10	242.5	3
27-Aug-10	241.62	3
26-Aug-10	240.28	2
25-Aug-10	242.89	3
24-Aug-10	239.93	1
23-Aug-10	245.8	1
20-Aug-10	249.64	3
19-Aug-10	249.88	3
18-Aug-10	253.07	3
17-Aug-10	251.97	2
16-Aug-10	247.64	1
13-Aug-10	249.1	2
12-Aug-10	251.79	3
11-Aug-10	250.19	2
10-Aug-10	259.41	2
9-Aug-10	261.75	2
6-Aug-10	260.09	3
5-Aug-10	261.7	1
4-Aug-10	262.98	2
3-Aug-10	261.93	1
2-Aug-10	261.85	2
30-Jul-10	257.25	1
29-Jul-10	258.11	3
28-Jul-10	260.96	3
27-Jul-10	264.08	1
26-Jul-10	259.28	1
23-Jul-10	259.94	1
22-Jul-10	259.02	1
21-Jul-10	254.24	3
20-Jul-10	251.89	1
19-Jul-10	245.58	1
16-Jul-10	249.9	3
15-Jul-10	251.45	2
14-Jul-10	252.73	2
13-Jul-10	251.8	2
12-Jul-10	257.28	3
9-Jul-10	259.62	1
8-Jul-10	258.09	1
7-Jul-10	258.66	3
6-Jul-10	248.63	2
5-Jul-10	246.94	1
2-Jul-10	246.94	3
1-Jul-10	248.48	2
30-Jun-10	251.53	1
29-Jun-10	256.17	2
28-Jun-10	268.3	3
25-Jun-10	266.7	1
24-Jun-10	269.0	3
23-Jun-10	270.97	2
22-Jun-10	273.85	3
21-Jun-10	270.17	3
18-Jun-10	274.07	2
17-Jun-10	271.87	1
16-Jun-10	267.25	2
15-Jun-10	259.69	2
14-Jun-10	254.28	2
11-Jun-10	253.51	1
10-Jun-10	250.51	1
9-Jun-10	243.2	2
8-Jun-10	249.33	2
7-Jun-10	250.94	2
4-Jun-10	255.96	2
3-Jun-10	263.12	2
2-Jun-10	263.95	2
1-Jun-10	260.83	1
31-May-10	256.88	2
28-May-10	256.88	2
27-May-10	253.35	3
26-May-10	244.11	1
25-May-10	245.22	3
24-May-10	246.76	3
21-May-10	242.32	1
20-May-10	237.76	2
19-May-10	248.34	2
18-May-10	252.36	3
17-May-10	254.22	3
14-May-10	253.82	3
13-May-10	258.36	3
12-May-10	262.09	2
11-May-10	256.52	3
10-May-10	253.99	3
7-May-10	235.86	2
6-May-10	246.25	3
5-May-10	255.98	1
4-May-10	258.68	3
3-May-10	266.35	1
30-Apr-10	261.09	2
29-Apr-10	268.64	3
28-Apr-10	261.6	3
27-Apr-10	262.04	1
26-Apr-10	269.5	2
23-Apr-10	270.83	3
22-Apr-10	266.47	2
21-Apr-10	259.22	2
20-Apr-10	244.59	2
19-Apr-10	247.07	1
16-Apr-10	247.4	1
15-Apr-10	248.92	3
14-Apr-10	245.69	2
13-Apr-10	242.43	3
12-Apr-10	242.29	1
9-Apr-10	241.79	1
8-Apr-10	239.95	1
7-Apr-10	240.6	2
6-Apr-10	239.54	2
5-Apr-10	238.49	2
2-Apr-10	235.97	2
1-Apr-10	235.97	3
31-Mar-10	235.0	3
30-Mar-10	235.84	1
29-Mar-10	232.39	2
26-Mar-10	230.9	1
25-Mar-10	226.65	1
24-Mar-10	229.37	3
23-Mar-10	228.36	3
22-Mar-10	224.75	3
19-Mar-10	222.25	1
18-Mar-10	224.65	1
17-Mar-10	224.12	2
16-Mar-10	224.45	2
15-Mar-10	223.84	2
12-Mar-10	226.6	2
11-Mar-10	225.5	1
10-Mar-10	224.84	1
9-Mar-10	223.02	1
8-Mar-10	219.08	2
5-Mar-10	218.95	3
4-Mar-10	210.71	1
3-Mar-10	209.33	3
2-Mar-10	208.85	3
1-Mar-10	208.99	3
26-Feb-10	204.62	1
25-Feb-10	202.0	1
24-Feb-10	200.66	2
23-Feb-10	197.06	1
22-Feb-10	200.42	3
19-Feb-10	201.67	3
18-Feb-10	202.93	1
17-Feb-10	202.55	1
16-Feb-10	203.4	1
15-Feb-10	200.38	3
12-Feb-10	200.38	3
11-Feb-10	198.67	3
10-Feb-10	195.12	2
9-Feb-10	196.19	2
8-Feb-10	194.12	1
5-Feb-10	195.46	1
4-Feb-10	192.05	3
3-Feb-10	199.23	2
2-Feb-10	195.86	3
1-Feb-10	194.73	3
29-Jan-10	192.06	2
28-Jan-10	199.29	3
27-Jan-10	207.88	1
26-Jan-10	205.94	2
25-Jan-10	203.08	3
22-Jan-10	197.75	1
21-Jan-10	208.07	1
20-Jan-10	211.72	3
19-Jan-10	215.04	2
18-Jan-10	205.93	2
15-Jan-10	205.93	1
14-Jan-10	209.43	2
13-Jan-10	210.65	1
12-Jan-10	207.72	1
11-Jan-10	210.11	1
8-Jan-10	211.98	2
7-Jan-10	210.58	3
6-Jan-10	210.97	1
5-Jan-10	214.38	3
4-Jan-10	214.01	2
1-Jan-10	210.73	2
31-Dec-09	210.73	2
30-Dec-09	211.64	1
29-Dec-09	209.1	2
